Domain Name,Domain Type,Agency,City,State,Is Live,SPF,DMARC
IC.GOV,Federal Agency,Central Intelligence Agency,Washington,DC,FALSE,FALSE,FALSE
ISTAC.GOV,Federal Agency,Central Intelligence Agency,Washington,DC,FALSE,FALSE,FALSE
NCTC.GOV,Federal Agency,Central Intelligence Agency,Washington,DC,TRUE,FALSE,FALSE
ODCI.GOV,Federal Agency,Central Intelligence Agency,Washington,DC,FALSE,FALSE,FALSE
OPENSOURCE.GOV,Federal Agency,Central Intelligence Agency,Washington,DC,TRUE,TRUE,FALSE
OSDE.GOV,Federal Agency,Central Intelligence Agency,Reston,VA,FALSE,FALSE,FALSE
OSDLS.GOV,Federal Agency,Central Intelligence Agency,McLean,VA,FALSE,FALSE,FALSE
TTIC.GOV,Federal Agency,Central Intelligence Agency,Washington,DC,FALSE,FALSE,FALSE
UCIA.GOV,Federal Agency,Central Intelligence Agency,Washington,DC,FALSE,TRUE,FALSE
CAP.GOV,Federal Agency,Civil Air Patrol,BIRMINGHAM,MI,FALSE,TRUE,FALSE
CAPNHQ.GOV,Federal Agency,Civil Air Patrol,MAXWELL AFB,AL,TRUE,TRUE,FALSE
ABILITYONE.GOV,Federal Agency,Comm for People Who Are Blind/Severly Disabled,Arlington,VA,TRUE,TRUE,TRUE
JWOD.GOV,Federal Agency,Comm for People Who Are Blind/Severly Disabled,Arlington,VA,TRUE,TRUE,FALSE
CFTC.GOV,Federal Agency,Commodity Futures Trading Commission,Washington,DC,FALSE,TRUE,FALSE
SMARTCHECK.GOV,Federal Agency,Commodity Futures Trading Commission,Washington,DC,TRUE,FALSE,FALSE
WHISTLEBLOWER.GOV,Federal Agency,Commodity Futures Trading Commission,Washington,DC,FALSE,FALSE,FALSE
COMPLIANCE.GOV,Federal Agency,Congressional Office of Compliance,Washington,DC,TRUE,FALSE,FALSE
BCFP.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC,TRUE,FALSE,FALSE
CFPA.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC,TRUE,FALSE,TRUE
CFPB.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC,TRUE,TRUE,TRUE
CONSUMERBUREAU.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC,TRUE,TRUE,TRUE
CONSUMERFINANCE.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC,TRUE,TRUE,TRUE
CONSUMERFINANCIAL.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC,TRUE,TRUE,TRUE
CONSUMERFINANCIALBUREAU.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC,TRUE,TRUE,TRUE
CONSUMERFINANCIALPROTECTIONBUREAU.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC,FALSE,TRUE,TRUE
CONSUMERPROTECTION.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC,TRUE,TRUE,TRUE
CONSUMERPROTECTIONBUREAU.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC,TRUE,TRUE,TRUE
ANCHORIT.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD,TRUE,TRUE,TRUE
ATVSAFETY.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD,TRUE,TRUE,TRUE
CPSC.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD,TRUE,TRUE,TRUE
DRYWALLRESPONSE.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD,TRUE,TRUE,TRUE
POOLSAFELY.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD,TRUE,TRUE,TRUE
POOLSAFETY.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD,TRUE,TRUE,TRUE
RECALLS.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD,TRUE,TRUE,TRUE
SAFERPRODUCT.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD,TRUE,TRUE,TRUE
SAFERPRODUCTS.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD,TRUE,TRUE,TRUE
SEGURIDADCONSUMIDOR.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD,TRUE,TRUE,TRUE
AMERICORP.GOV,Federal Agency,Corporation for National & Community Service,Washington,DC,TRUE,TRUE,TRUE
AMERICORPS.GOV,Federal Agency,Corporation for National & Community Service,Washington,DC,TRUE,TRUE,TRUE
CNCS.GOV,Federal Agency,Corporation for National & Community Service,Washington,DC,TRUE,TRUE,TRUE
CNCSOIG.GOV,Federal Agency,Corporation for National & Community Service,Washington,DC,TRUE,TRUE,FALSE
CNS.GOV,Federal Agency,Corporation for National & Community Service,Washington,DC,TRUE,TRUE,TRUE
MENTOR.GOV,Federal Agency,Corporation for National & Community Service,Washington,DC,TRUE,TRUE,TRUE
MLKDAY.GOV,Federal Agency,Corporation for National & Community Service,Washington,DC,TRUE,TRUE,TRUE
NATIONALSERVICE.GOV,Federal Agency,Corporation for National & Community Service,Washington,DC,TRUE,TRUE,FALSE
NATIONALSERVICERESOURCES.GOV,Federal Agency,Corporation for National & Community Service,Washington,DC,TRUE,TRUE,TRUE
PRESIDENTIALSERVICEAWARDS.GOV,Federal Agency,Corporation for National & Community Service,Washington,DC,TRUE,TRUE,TRUE
SENIORCORPS.GOV,Federal Agency,Corporation for National & Community Service,Washington,DC,TRUE,TRUE,TRUE
SERVE.GOV,Federal Agency,Corporation for National & Community Service,Washington,DC,TRUE,TRUE,TRUE
SERVICE.GOV,Federal Agency,Corporation for National & Community Service,Washington,DC,TRUE,TRUE,TRUE
VISTACAMPUS.GOV,Federal Agency,Corporation for National & Community Service,Washington,DC,TRUE,TRUE,TRUE
VOLUNTEERINGINAMERICA.GOV,Federal Agency,Corporation for National & Community Service,Washington,DC,TRUE,TRUE,TRUE
CIGIE.GOV,Federal Agency,Council of Inspector General on Integrity and Efficiency,WASHINGTON,DC,FALSE,TRUE,TRUE
IGNET.GOV,Federal Agency,Council of Inspector General on Integrity and Efficiency,Washington,DC,TRUE,FALSE,FALSE
OVERSIGHT.GOV,Federal Agency,Council of Inspector General on Integrity and Efficiency,Washington,DC,TRUE,FALSE,FALSE
CSOSA.FED.US,Federal Agency,Court Services and Offender Supervision,Washington,DC,FALSE,FALSE,FALSE
CSOSA.GOV,Federal Agency,Court Services and Offender Supervision,Washington,DC,FALSE,TRUE,FALSE
PRETRIALSERVICES.GOV,Federal Agency,Court Services and Offender Supervision,Washington,DC,FALSE,TRUE,FALSE
PSA.GOV,Federal Agency,Court Services and Offender Supervision,Washington,DC,FALSE,TRUE,FALSE
DNFSB.GOV,Federal Agency,Defense Nuclear Facilities Safety Board,Washington,DC,FALSE,TRUE,TRUE
DRA.GOV,Federal Agency,Delta Regional Authority,Clarksdale,MS,TRUE,TRUE,FALSE
DENALI.GOV,Federal Agency,Denali Commission,Anchorage,AK,TRUE,TRUE,FALSE
FEA.GOV,Federal Agency,Denali Commission,Anchorage,AK,TRUE,FALSE,FALSE
AFF.GOV,Federal Agency,Department of Agriculture,Boise,ID,FALSE,FALSE,FALSE
AG.GOV,Federal Agency,Department of Agriculture,Fort Collins,CO,FALSE,FALSE,FALSE
ARS-GRIN.GOV,Federal Agency,Department of Agriculture,Beltsville,MD,FALSE,TRUE,FALSE
ARSUSDA.GOV,Federal Agency,Department of Agriculture,Beltsville,MD,FALSE,FALSE,FALSE
ASKKAREN.GOV,Federal Agency,Department of Agriculture,Washington,DC,TRUE,FALSE,FALSE
BEFOODSAFE.GOV,Federal Agency,Department of Agriculture,Washington,DC,TRUE,FALSE,FALSE
BIOPREFERRED.GOV,Federal Agency,Department of Agriculture,Washington,DC,TRUE,FALSE,FALSE
BOSQUE.GOV,Federal Agency,Department of Agriculture,Albuquerque,NM,TRUE,FALSE,FALSE
CHOOSEMYPLATE.GOV,Federal Agency,Department of Agriculture,Alexandria,VA,TRUE,FALSE,FALSE
COASTALAMERICA.GOV,Federal Agency,Department of Agriculture,Washington,DC,FALSE,FALSE,FALSE
DIETARYGUIDELINES.GOV,Federal Agency,Department of Agriculture,Alexandria,VA,TRUE,FALSE,FALSE
EMPOWHR.GOV,Federal Agency,Department of Agriculture,New Orleans,LA,TRUE,FALSE,FALSE
EXECSEC.GOV,Federal Agency,Department of Agriculture,Washington,DC,TRUE,FALSE,FALSE
FIREINSTITUTE.GOV,Federal Agency,Department of Agriculture,Tucson,AZ,TRUE,FALSE,FALSE
FOODSAFETYJOBS.GOV,Federal Agency,Department of Agriculture,Washington,DC,TRUE,FALSE,FALSE
FORESTSANDRANGELANDS.GOV,Federal Agency,Department of Agriculture,Washington,DC,TRUE,FALSE,FALSE
FS.FED.US,Federal Agency,Department of Agriculture,Washington,DC,FALSE,TRUE,FALSE
GREEN.GOV,Federal Agency,Department of Agriculture,Washington,DC,TRUE,TRUE,FALSE
ICBEMP.GOV,Federal Agency,Department of Agriculture,Portland,OR,TRUE,FALSE,FALSE
INVASIVESPECIESINFO.GOV,Federal Agency,Department of Agriculture,Beltsville,MD,TRUE,TRUE,FALSE
IPM.GOV,Federal Agency,Department of Agriculture,Washington,DC,TRUE,TRUE,TRUE
ISITDONEYET.GOV,Federal Agency,Department of Agriculture,Washington,DC,TRUE,FALSE,FALSE
ITAP.GOV,Federal Agency,Department of Agriculture,Beltsville,MD,TRUE,TRUE,FALSE
JUNIORFORESTRANGER.GOV,Federal Agency,Department of Agriculture,Washington,DC,FALSE,TRUE,TRUE
LCACOMMONS.GOV,Federal Agency,Department of Agriculture,Beltsville,MD,TRUE,TRUE,FALSE
MTBS.GOV,Federal Agency,Department of Agriculture,Salt Lake City,UT,TRUE,FALSE,FALSE
MYPLATE.GOV,Federal Agency,Department of Agriculture,Alexandria,VA,TRUE,FALSE,FALSE
NAFRI.GOV,Federal Agency,Department of Agriculture,Tucson,AZ,TRUE,FALSE,FALSE
NEL.GOV,Federal Agency,Department of Agriculture,Alexandria,VA,TRUE,FALSE,FALSE
NUTRITION.GOV,Federal Agency,Department of Agriculture,Washington,DC,TRUE,TRUE,FALSE
NUTRITIONEVIDENCELIBRARY.GOV,Federal Agency,Department of Agriculture,Alexandria,VA,FALSE,FALSE,FALSE
NWCG.GOV,Federal Agency,Department of Agriculture,Boise,ID,FALSE,TRUE,FALSE
PREGUNTELEAKAREN.GOV,Federal Agency,Department of Agriculture,Washington,DC,TRUE,FALSE,FALSE
RECREATION.GOV,Federal Agency,Department of Agriculture,Ogden,UT,TRUE,TRUE,FALSE
REO.GOV,Federal Agency,Department of Agriculture,Portland,OR,FALSE,FALSE,FALSE
SMOKEYBEAR.GOV,Federal Agency,Department of Agriculture,Washington,DC,TRUE,TRUE,TRUE
SYMBOLS.GOV,Federal Agency,Department of Agriculture,Washington,DC,TRUE,TRUE,TRUE
THEPEOPLESGARDEN.GOV,Federal Agency,Department of Agriculture,Wahington,DC,FALSE,FALSE,FALSE
USDA.GOV,Federal Agency,Department of Agriculture,Ft. Collins,CO,TRUE,TRUE,FALSE
USDAPII.GOV,Federal Agency,Department of Agriculture,Washington,DC,FALSE,FALSE,FALSE
WILDFIRE.GOV,Federal Agency,Department of Agriculture,Boise,ID,FALSE,FALSE,FALSE
WOODSY.GOV,Federal Agency,Department of Agriculture,Washington,DC,FALSE,TRUE,TRUE
WOODSYOWL.GOV,Federal Agency,Department of Agriculture,Washington,DC,FALSE,TRUE,TRUE
2020CENSUS.GOV,Federal Agency,Department of Commerce,Suitland,MD,FALSE,TRUE,TRUE
AP.GOV,Federal Agency,Department of Commerce,Washington,DC,TRUE,FALSE,FALSE
AVIATIONWEATHER.GOV,Federal Agency,Department of Commerce,Silver Spring,MD,TRUE,FALSE,FALSE
BEA.GOV,Federal Agency,Department of Commerce,Suitland,MD,TRUE,TRUE,FALSE
BLDRDOC.GOV,Federal Agency,Department of Commerce,Boulder,CO,FALSE,FALSE,FALSE
BUYUSA.GOV,Federal Agency,Department of Commerce,Washington,DC,TRUE,FALSE,FALSE
CENSUS.GOV,Federal Agency,Department of Commerce,Suitland,MD,TRUE,TRUE,TRUE
CEP.GOV,Federal Agency,Department of Commerce,Suitland,MD,TRUE,TRUE,TRUE
CIVILRIGHTSUSA.GOV,Federal Agency,Department of Commerce,Washington,DC,FALSE,FALSE,FALSE
CLIMATE.GOV,Federal Agency,Department of Commerce,Silver Spring,MD,TRUE,FALSE,FALSE
COMMERCE.GOV,Federal Agency,Department of Commerce,Washington,DC,TRUE,TRUE,FALSE
DIGITALLITERACY.GOV,Federal Agency,Department of Commerce,Washington,DC,TRUE,TRUE,FALSE
DNSOPS.GOV,Federal Agency,Department of Commerce,Gaithersburg,MD,TRUE,TRUE,TRUE
DOC.GOV,Federal Agency,Department of Commerce,Washington,DC,TRUE,TRUE,FALSE
DROUGHT.GOV,Federal Agency,Department of Commerce,Asheville,NC,TRUE,FALSE,FALSE
EARTHSYSTEMPREDICTION.GOV,Federal Agency,Department of Commerce,Silver Spring,MD,TRUE,FALSE,FALSE
EDA.GOV,Federal Agency,Department of Commerce,Washington,DC,TRUE,TRUE,FALSE
ESA.GOV,Federal Agency,Department of Commerce,Washington,DC,TRUE,FALSE,FALSE
EXPORT.GOV,Federal Agency,Department of Commerce,Washington,DC,TRUE,FALSE,FALSE
FIRSTNET.GOV,Federal Agency,Department of Commerce,Washington,DC,TRUE,TRUE,TRUE
FISHWATCH.GOV,Federal Agency,Department of Commerce,Silver Spring,MD,FALSE,FALSE,FALSE
GOES-R.GOV,Federal Agency,Department of Commerce,Greenbelt,MD,TRUE,FALSE,FALSE
GPS.GOV,Federal Agency,Department of Commerce,Washington,DC,FALSE,FALSE,FALSE
HURRICANES.GOV,Federal Agency,Department of Commerce,Miami,FL,TRUE,FALSE,FALSE
MANUFACTURING.GOV,Federal Agency,Department of Commerce,Washington,DC,TRUE,FALSE,FALSE
MARINECADASTRE.GOV,Federal Agency,Department of Commerce,Charleston,SC,TRUE,FALSE,FALSE
MBDA.GOV,Federal Agency,Department of Commerce,Washington,DC,TRUE,TRUE,FALSE
MGI.GOV,Federal Agency,Department of Commerce,Gaithersburg,MD,TRUE,FALSE,FALSE
NEHRP.GOV,Federal Agency,Department of Commerce,Gaithersburg,MD,TRUE,FALSE,FALSE
NIST.GOV,Federal Agency,Department of Commerce,Gaithersburg,MD,TRUE,TRUE,FALSE
NOAA.GOV,Federal Agency,Department of Commerce,Silver Spring,MD,TRUE,TRUE,FALSE
NTIS.GOV,Federal Agency,Department of Commerce,Alexandria,VA,TRUE,TRUE,TRUE
NWIRP.GOV,Federal Agency,Department of Commerce,Gaithersburg,MD,FALSE,FALSE,FALSE
OFCM.GOV,Federal Agency,Department of Commerce,Silver Spring,MD,FALSE,FALSE,FALSE
PAPAHANAUMOKUAKEA.GOV,Federal Agency,Department of Commerce,Silver Spring,MD,TRUE,FALSE,FALSE
PRIVACYSHIELD.GOV,Federal Agency,Department of Commerce,Washington,DC,TRUE,FALSE,FALSE
PSCR.GOV,Federal Agency,Department of Commerce,Boulder,CO,TRUE,FALSE,FALSE
SDR.GOV,Federal Agency,Department of Commerce,Washington,DC,FALSE,FALSE,FALSE
SELECTUSA.GOV,Federal Agency,Department of Commerce,Washington,DC,TRUE,FALSE,FALSE
SPACEWEATHER.GOV,Federal Agency,Department of Commerce,Boulder,CO,TRUE,FALSE,FALSE
SPECTRUM.GOV,Federal Agency,Department of Commerce,Washington,DC,TRUE,TRUE,FALSE
STANDARDS.GOV,Federal Agency,Department of Commerce,Gaithersburg,MD,TRUE,FALSE,FALSE
STOPFAKES.GOV,Federal Agency,Department of Commerce,Washington,DC,TRUE,FALSE,FALSE
SWORM.GOV,Federal Agency,Department of Commerce,Boulder,CO,TRUE,FALSE,FALSE
TIME.GOV,Federal Agency,Department of Commerce,Boulder,CO,TRUE,FALSE,FALSE
TRADE.GOV,Federal Agency,Department of Commerce,Washington,DC,TRUE,TRUE,TRUE
TSUNAMI.GOV,Federal Agency,Department of Commerce,Palmer,AK,TRUE,FALSE,FALSE
USPTO.GOV,Federal Agency,Department of Commerce,Washington,DC,TRUE,FALSE,FALSE
WDOL.GOV,Federal Agency,Department of Commerce,Alexandria,VA,TRUE,FALSE,FALSE
WEATHER.GOV,Federal Agency,Department of Commerce,Silver Spring,MD,TRUE,FALSE,FALSE
ADLNET.GOV,Federal Agency,Department of Defense,Washington,DC,TRUE,TRUE,TRUE
AFTAC.GOV,Federal Agency,Department of Defense,Patrick AFB,FL,FALSE,FALSE,FALSE
ALTUSANDC.GOV,Federal Agency,Department of Defense,"patrick, afb",FL,TRUE,FALSE,FALSE
BRAC.GOV,Federal Agency,Department of Defense,Alexandria,VA,TRUE,FALSE,FALSE
BUSINESSDEFENSE.GOV,Federal Agency,Department of Defense,Washington,DC,TRUE,FALSE,FALSE
CMTS.GOV,Federal Agency,Department of Defense,Mobile,AL,FALSE,FALSE,FALSE
CNSS.GOV,Federal Agency,Department of Defense,Ft George G. Meade,MD,FALSE,FALSE,FALSE
CTOC.GOV,Federal Agency,Department of Defense,Starke,FL,TRUE,TRUE,FALSE
CTTSO.GOV,Federal Agency,Department of Defense,Arlington,VA,TRUE,FALSE,FALSE
DC3ON.GOV,Federal Agency,Department of Defense,Linthicum,MD,FALSE,TRUE,FALSE
DEFENSE.GOV,Federal Agency,Department of Defense,Fort Meade,MD,TRUE,TRUE,FALSE
DEFENSEBUSINESS.GOV,Federal Agency,Department of Defense,Washington,DC,FALSE,FALSE,FALSE
DEFENSEMANUFACTURING.GOV,Federal Agency,Department of Defense,Washington,DC,FALSE,FALSE,FALSE
DOD.GOV,Federal Agency,Department of Defense,Fort Meade,MD,FALSE,FALSE,FALSE
DODBUSINESS.GOV,Federal Agency,Department of Defense,Washington,DC,FALSE,FALSE,FALSE
EACLEARINGHOUSE.GOV,Federal Agency,Department of Defense,Arlington,VA,FALSE,FALSE,FALSE
ERDC.GOV,Federal Agency,Department of Defense,Vicksburg,MS,FALSE,FALSE,FALSE
FVAP.GOV,Federal Agency,Department of Defense,Alexandria,VA,TRUE,FALSE,FALSE
IAD.GOV,Federal Agency,Department of Defense,Ft Meade,MD,FALSE,FALSE,FALSE
IOSS.GOV,Federal Agency,Department of Defense,Greenbelt,MD,FALSE,FALSE,FALSE
ITC.GOV,Federal Agency,Department of Defense,Ft. Washington,MD,FALSE,FALSE,FALSE
JCCS.GOV,Federal Agency,Department of Defense,Alexandria,VA,FALSE,FALSE,FALSE
MIBP.GOV,Federal Agency,Department of Defense,Washington,DC,FALSE,FALSE,FALSE
MOJAVEDATA.GOV,Federal Agency,Department of Defense,Barstow,CA,TRUE,FALSE,FALSE
MTMC.GOV,Federal Agency,Department of Defense,Alexandria,VA,FALSE,FALSE,FALSE
MYPAY.GOV,Federal Agency,Department of Defense,Pensacola,FL,FALSE,FALSE,FALSE
NATIONALRESOURCEDIRECTORY.GOV,Federal Agency,Department of Defense,ARLINGTON,VA,TRUE,FALSE,FALSE
NCR.GOV,Federal Agency,Department of Defense,Washington,DC,FALSE,FALSE,FALSE
NRD.GOV,Federal Agency,Department of Defense,ARLINGTON,VA,TRUE,FALSE,FALSE
NRO.GOV,Federal Agency,Department of Defense,Chantilly,VA,TRUE,FALSE,FALSE
NROJR.GOV,Federal Agency,Department of Defense,Chantilly,VA,TRUE,FALSE,FALSE
NSA.GOV,Federal Agency,Department of Defense,Ft. Meade,MD,TRUE,TRUE,FALSE
NSEP.GOV,Federal Agency,Department of Defense,Alexandria,VA,TRUE,TRUE,FALSE
OEA.GOV,Federal Agency,Department of Defense,Arlington,VA,TRUE,FALSE,FALSE
PENTAGON.GOV,Federal Agency,Department of Defense,Fort Meade,MD,FALSE,FALSE,FALSE
SITEIDIQ.GOV,Federal Agency,Department of Defense,Arlington,VA,FALSE,FALSE,FALSE
TSWG.GOV,Federal Agency,Department of Defense,Arlington,VA,FALSE,FALSE,FALSE
USANDC.GOV,Federal Agency,Department of Defense,Patrick AFB,FL,FALSE,FALSE,FALSE
AAPI.GOV,Federal Agency,Department of Education,Washington,DC,TRUE,TRUE,TRUE
BUDGETLOB.GOV,Federal Agency,Department of Education,Washington,DC,TRUE,TRUE,FALSE
CHILDSTATS.GOV,Federal Agency,Department of Education,Washington,DC,TRUE,TRUE,TRUE
COLLEGENAVIGATOR.GOV,Federal Agency,Department of Education,Washington,DC,TRUE,TRUE,TRUE
ED.GOV,Federal Agency,Department of Education,Washington,DC,TRUE,TRUE,TRUE
EDPUBS.GOV,Federal Agency,Department of Education,Washington ,DC,TRUE,TRUE,TRUE
EDUCATION.GOV,Federal Agency,Department of Education,Washington,DC,TRUE,TRUE,TRUE
FAFSA.GOV,Federal Agency,Department of Education,Washington,DC,TRUE,TRUE,TRUE
FSAPUBS.GOV,Federal Agency,Department of Education,Washington,DC,TRUE,TRUE,TRUE
G5.GOV,Federal Agency,Department of Education,Washington,DC,TRUE,TRUE,TRUE
NAGB.GOV,Federal Agency,Department of Education,Washington,DC,TRUE,TRUE,TRUE
NATIONSREPORTCARD.GOV,Federal Agency,Department of Education,Washington,DC,TRUE,TRUE,TRUE
STUDENTAID.GOV,Federal Agency,Department of Education,Washington,DC,TRUE,TRUE,TRUE
STUDENTLOANS.GOV,Federal Agency,Department of Education,Washington,DC,FALSE,TRUE,TRUE
AMESLAB.GOV,Federal Agency,Department of Energy,Ames,IA,FALSE,TRUE,FALSE
ANL.GOV,Federal Agency,Department of Energy,Argonne,IL,FALSE,FALSE,FALSE
ARM.GOV,Federal Agency,Department of Energy,Richland,WA,FALSE,FALSE,FALSE
BIOMASSBOARD.GOV,Federal Agency,Department of Energy,Washington,DC,TRUE,TRUE,FALSE
BNL.GOV,Federal Agency,Department of Energy,Upton,NY,TRUE,TRUE,FALSE
BPA.GOV,Federal Agency,Department of Energy,Portland,OR,TRUE,TRUE,FALSE
BRC.GOV,Federal Agency,Department of Energy,Washington,DC,FALSE,TRUE,FALSE
BUILDINGAMERICA.GOV,Federal Agency,Department of Energy,Golden,CO,TRUE,TRUE,FALSE
CASL.GOV,Federal Agency,Department of Energy,Oak Ridge,TN,FALSE,FALSE,FALSE
CEBAF.GOV,Federal Agency,Department of Energy,Newport News,VA,TRUE,FALSE,FALSE
CENDI.GOV,Federal Agency,Department of Energy,Oak Ridge,TN,TRUE,FALSE,FALSE
CRT2014-2024REVIEW.GOV,Federal Agency,Department of Energy,Portland,OR,TRUE,TRUE,FALSE
DOE.GOV,Federal Agency,Department of Energy,Washington,DC,FALSE,TRUE,TRUE
DOEAL.GOV,Federal Agency,Department of Energy,Albuquerque,NM,FALSE,TRUE,TRUE
EIA.GOV,Federal Agency,Department of Energy,Washington,DC,TRUE,TRUE,TRUE
ENERGY.GOV,Federal Agency,Department of Energy,Washington,DC,TRUE,TRUE,TRUE
ENERGYCODES.GOV,Federal Agency,Department of Energy,Richland,WA,TRUE,FALSE,FALSE
ENERGYSAVER.GOV,Federal Agency,Department of Energy,Washington,DC,TRUE,FALSE,FALSE
ENERGYSAVERS.GOV,Federal Agency,Department of Energy,Washington,DC,TRUE,FALSE,FALSE
FNAL.GOV,Federal Agency,Department of Energy,Batavia,IL,TRUE,TRUE,TRUE
FUELECONOMY.GOV,Federal Agency,Department of Energy,Oak Ridge,TN,TRUE,FALSE,FALSE
HANFORD.GOV,Federal Agency,Department of Energy,Richland,WA,FALSE,FALSE,FALSE
HIGHPERFORMANCEBUILDINGS.GOV,Federal Agency,Department of Energy,Golden,CO,TRUE,TRUE,FALSE
HOMEENERGYSCORE.GOV,Federal Agency,Department of Energy,Washington,DC,TRUE,TRUE,FALSE
HYDROGEN.GOV,Federal Agency,Department of Energy,Washington,DC,TRUE,TRUE,FALSE
INEL.GOV,Federal Agency,Department of Energy,Idaho Falls,ID,FALSE,TRUE,FALSE
INL.GOV,Federal Agency,Department of Energy,Idaho Falls,ID,TRUE,TRUE,TRUE
ISOTOPE.GOV,Federal Agency,Department of Energy,Oak Ridge,TN,TRUE,FALSE,FALSE
ISOTOPES.GOV,Federal Agency,Department of Energy,Oak Ridge,TN,TRUE,FALSE,FALSE
KAPL.GOV,Federal Agency,Department of Energy,Schenectady,NY,FALSE,FALSE,FALSE
LANL.GOV,Federal Agency,Department of Energy,Los Alamos,NM,TRUE,TRUE,TRUE
LBL.GOV,Federal Agency,Department of Energy,Berkeley,CA,TRUE,TRUE,FALSE
LLNL.GOV,Federal Agency,Department of Energy,Livermore,CA,TRUE,TRUE,TRUE
NCCRC.GOV,Federal Agency,Department of Energy,Oak Ridge,TN,FALSE,FALSE,FALSE
NCCS.GOV,Federal Agency,Department of Energy,Oak Ridge,TN,FALSE,FALSE,FALSE
NCRC.GOV,Federal Agency,Department of Energy,Oak Ridge,TN,FALSE,FALSE,FALSE
NERSC.GOV,Federal Agency,Department of Energy,Berkeley,CA,TRUE,FALSE,FALSE
NEUP.GOV,Federal Agency,Department of Energy,Washington,DC,TRUE,TRUE,FALSE
NREL.GOV,Federal Agency,Department of Energy,Golden,CO,TRUE,TRUE,TRUE
NRELHUB.GOV,Federal Agency,Department of Energy,Golden,CO,FALSE,TRUE,TRUE
NTRC.GOV,Federal Agency,Department of Energy,Knoxville,TN,FALSE,FALSE,FALSE
NUCLEAR.GOV,Federal Agency,Department of Energy,Washington,DC,FALSE,TRUE,FALSE
NWTRB.GOV,Federal Agency,Department of Energy,Arlington,VA,TRUE,TRUE,TRUE
ORAU.GOV,Federal Agency,Department of Energy,Oak Ridge,TN,TRUE,TRUE,TRUE
